ILMNGene_ProbeId,MBC_vs_CP_Up,MBC_vs_CP_Down,LBC_vs_CP_Up,LBC_vs_CP_Down,PTC209_Up,PTC_209_Down
A4GALT_ILMN1735045,0,0,0,1,0,1
AAK1_ILMN1688755,0,0,1,0,1,0
ABCA7_ILMN1743205,0,1,0,1,1,0
ABCB6_ILMN2193980,0,1,0,1,0,1
ABCG1_ILMN1794782,1,0,0,0,0,1
ABHD14A_ILMN1794213,0,0,0,1,0,1
ABR_ILMN1672878,1,0,1,0,1,0
ACAT1_ILMN1800008,0,1,0,0,0,1
ACOT11_ILMN1739594,0,0,0,1,0,1
ACSL1_ILMN1684585,0,0,0,1,1,0
ACSM3_ILMN1662738,0,1,0,1,0,1
ACTA2_ILMN1671703,1,0,0,0,1,0
ADCY3_ILMN1676893,0,0,1,0,0,1
ADCY6_ILMN1685156,0,0,1,0,0,1
ADCY6_ILMN2311674,0,0,1,0,0,1
ADHFE1_ILMN1702858,1,0,0,1,1,0
AGBL5_ILMN2308689,0,1,0,1,0,1
AGL_ILMN1664006,0,0,0,1,0,1
AGR2_ILMN3307841,1,0,0,0,1,0
AHNAK_ILMN1714567,1,0,1,0,1,0
AHSP_ILMN1696512,0,1,0,1,0,1
AIF1_ILMN1703538,1,0,0,0,0,1
AIF1_ILMN1792473,1,0,0,0,0,1
AIF1L_ILMN3246401,1,0,1,0,0,1
AIG1_ILMN1797974,0,0,0,1,0,1
AKAP13_ILMN1752247,1,0,1,0,1,0
AKNA_ILMN1770673,1,0,1,0,1,0
ALAS2_ILMN2367126,0,1,0,1,0,1
ALDH1A1_ILMN2096372,0,1,0,1,0,1
ALDH1B1_ILMN2150894,0,0,0,1,0,1
ALDH2_ILMN1793859,0,0,0,1,1,0
ALDOA_ILMN1741148,0,0,0,0,0,1
ALDOC_ILMN1755974,0,0,0,1,0,1
ALOX12_ILMN1713731,0,1,0,1,0,1
ALOX5_ILMN1680996,1,0,1,0,1,0
ALS2CR4_ILMN1800958,0,1,0,1,0,1
AMD1_ILMN1667994,0,0,0,1,0,1
AMY2A_ILMN1801303,1,0,0,0,1,0
ANAPC13_ILMN1793894,0,0,0,1,1,0
ANGPT1_ILMN1677723,1,0,0,1,0,1
ANGPT1_ILMN2086890,1,0,0,1,0,1
ANK1_ILMN1684694,0,1,0,1,0,1
ANKRD13D_ILMN1672356,0,0,1,0,1,0
ANKRD28_ILMN2232520,1,0,1,0,1,0
ANKRD33_ILMN1667748,1,0,0,0,1,0
ANKRD37_ILMN1756417,0,0,0,1,0,1
ANLN_ILMN1739645,0,1,0,0,0,1
ANTXR2_ILMN1812926,1,0,1,0,1,0
ANXA2P1_ILMN2041101,1,0,0,0,0,1
ANXA3_ILMN1694548,0,0,0,1,0,1
ANXA5_ILMN1741003,0,1,0,1,1,0
ANXA6_ILMN1678612,1,0,1,0,0,1
APAF1_ILMN1659463,1,0,1,0,0,1
APOBEC3B_ILMN2219466,0,1,0,1,0,1
APOC1_ILMN1789007,0,1,0,1,0,1
APP_ILMN2404065,1,0,1,0,0,1
AQP9_ILMN1715068,0,0,0,1,1,0
ARAP3_ILMN1812618,0,0,0,0,1,0
ARHGAP19_ILMN1688953,0,1,0,1,0,1
ARHGAP30_ILMN1750805,1,0,1,0,1,0
ARHGAP4_ILMN1770824,1,0,1,0,1,0
ARHGAP5_ILMN2322747,0,0,0,1,0,1
ARID5B_ILMN1721626,1,0,1,0,1,0
ARL4A_ILMN1743241,0,0,0,1,1,0
ARMC8_ILMN2385318,0,1,0,1,0,1
ARRDC2_ILMN1655612,0,0,1,0,1,0
ARSD_ILMN1684873,1,0,0,0,1,0
ARTN_ILMN1803691,0,0,1,0,0,1
ASF1B_ILMN1695414,0,1,0,0,0,1
ATAD2_ILMN2048700,0,1,0,1,0,1
ATF3_ILMN2374865,1,0,0,0,1,0
ATG16L2_ILMN1664644,1,0,0,0,1,0
ATP1B1_ILMN1658071,1,0,0,1,1,0
ATP1B1_ILMN2407824,1,0,0,1,1,0
ATP5G1_ILMN1676393,0,1,0,0,0,1
ATP6V0A1_ILMN1752579,0,0,0,1,1,0
ATP6V1B2_ILMN1787705,1,0,0,0,1,0
ATP8B4_ILMN1783956,0,0,0,1,1,0
AURKA_ILMN1680955,0,1,0,1,0,1
AURKA_ILMN2357438,0,1,0,0,0,1
AURKB_ILMN1684217,0,1,0,0,0,1
AZU1_ILMN1730867,0,1,0,1,0,1
B3GALNT1_ILMN2325347,0,1,0,1,1,0
BAALC_ILMN1687751,1,0,1,0,1,0
BAMBI_ILMN1691410,0,0,0,1,0,1
BAZ2B_ILMN1720850,1,0,1,0,1,0
BCL2_ILMN1801119,0,0,1,0,1,0
BCL2_ILMN2246956,0,0,1,0,1,0
BCL6B_ILMN1651285,0,0,1,0,0,1
BEND5_ILMN3237448,0,0,1,0,0,1
BEND6_ILMN1706969,0,0,0,1,1,0
BEX1_ILMN1702637,0,0,0,1,0,1
BEX1_ILMN2234697,0,1,0,1,0,1
