ILMNGene_ProbeId;MBC_vs_CP_Up;MBC_vs_CP_Down;LBC_vs_CP_Up;LBC_vs_CP_Down;PTC209_Up;PTC209_Down
A4GALT_ILMN1735045;0;0;0;1;0;1
ABCB1_ILMN1812070;1;0;0;0;1;0
ABCB1_ILMN2094875;1;0;0;0;1;0
ABCB6_ILMN2193980;0;1;0;1;0;1
ACAT1_ILMN1800008;0;1;0;0;0;1
ACOT11_ILMN1739594;0;0;0;1;0;1
ACSM3_ILMN1662738;0;1;0;1;0;1
ADHFE1_ILMN1702858;0;0;0;1;1;0
ADM2_ILMN1702933;0;0;1;0;1;0
AFAP1L2_ILMN1730995;1;0;1;0;1;0
AGBL5_ILMN2308689;0;0;0;1;0;1
AGR2_ILMN3307841;1;0;0;0;1;0
AHNAK_ILMN1714567;1;0;1;0;1;0
AHSP_ILMN1696512;0;1;0;1;0;1
AIF1L_ILMN3246401;1;0;1;0;0;1
AIG1_ILMN1797974;0;0;0;1;0;1
AK3L1_ILMN1764090;0;0;0;1;0;1
AK3L1_ILMN2338038;0;0;0;1;0;1
AKAP13_ILMN2396956;0;0;1;0;1;0
AKNA_ILMN1770673;1;0;1;0;1;0
ALAS2_ILMN2367126;0;1;0;1;0;1
ALDH1A1_ILMN2096372;0;1;0;1;0;1
ALDH1B1_ILMN2150894;0;0;0;1;0;1
ALDH2_ILMN1793859;0;0;0;1;1;0
ALDOC_ILMN1755974;0;0;0;1;0;1
ALOX5AP_ILMN1797875;0;1;0;1;1;0
ALS2CR4_ILMN1800958;0;1;0;1;0;1
AMMECR1_ILMN1779374;0;1;0;1;0;1
AMMECR1_ILMN2394242;0;1;0;1;0;1
ANK1_ILMN1684694;0;1;0;1;0;1
ANKRD28_ILMN1697594;0;0;1;0;1;0
ANKRD28_ILMN2232520;1;0;1;0;1;0
ANKRD33_ILMN1667748;1;0;0;0;1;0
ANLN_ILMN1739645;0;1;0;1;0;1
ANPEP_ILMN1763837;1;0;0;0;1;0
ANXA3_ILMN1694548;0;0;0;1;0;1
ANXA5_ILMN1741003;0;1;0;1;1;0
APOBEC3B_ILMN2219466;0;0;0;1;0;1
APOC1_ILMN1789007;0;1;0;1;0;1
ARHGAP30_ILMN1750805;1;0;1;0;1;0
